Domain Category,Question,Intent,Clinical Area/Diagnosis,Triage Level,Test Result,Drug Interaction,Drug 1,Drug 2
,,,,,,,,
Mental Health and Psychiatric Conditions,I can't focus do I have ADHD,Symptom Interpretation,ADHD,,,,,
Mental Health and Psychiatric Conditions,I get distracted easily do I have ADHD,Symptom Interpretation,ADHD,,,,,
Mental Health and Psychiatric Conditions,If I get bored easily do I have ADHD,Symptom Interpretation,ADHD,,,,,
Mental Health and Psychiatric Conditions,"My doctor said I have ADHD, what does that mean?",Diagnosis Interpretation,ADHD,,,,,
Mental Health and Psychiatric Conditions,Do I have ADHD if I can't sit still,Symptom Interpretation,ADHD,,,,,
Mental Health and Psychiatric Conditions,How do I cure my ADHD,Treatment,ADHD,,,,,
Mental Health and Psychiatric Conditions,I don't feel bad when I hurt people is that a disorder,Symptom Interpretation,Antisocial Personality Disorder,,,,,
Mental Health and Psychiatric Conditions,I lie and manipulate people for fun what does that mean,Symptom Interpretation,Antisocial Personality Disorder,,,,,
Mental Health and Psychiatric Conditions,"My doctor says I have antisocial personality disorder, what does that mean?",Diagnosis Interpretation,Antisocial Personality Disorder,,,,,
Mental Health and Psychiatric Conditions,How do I treat antisocial personality disorder,Treatment,Antisocial Personality Disorder,,,,,
Mental Health and Psychiatric Conditions,How do I get help for my child who has antisocial personality disorder,Treatment,Antisocial Personality Disorder,,,,,
Mental Health and Psychiatric Conditions,I can't stop worrying do I have anxiety,Symptom Interpretation,Anxiety Disorder,,,,,
Mental Health and Psychiatric Conditions,I feel panicked all the time is this anxiety,Symptom Interpretation,Anxiety Disorder,,,,,
Mental Health and Psychiatric Conditions,I wake up with anxiety every morning. How can I stop it?,Treatment,Anxiety Disorder,,,,,
Mental Health and Psychiatric Conditions,My heart races for no reason and I can't breathe. What could this be?,Symptom Interpretation,Anxiety Disorder,,,,,
Mental Health and Psychiatric Conditions,I feel like something terrible is going to happen all the time. What should I do?,Symptom Interpretation,Anxiety Disorder,,,,,
Mental Health and Psychiatric Conditions,How do I cure my anxiety naturally,Treatment,Anxiety Disorder,,,,,
Mental Health and Psychiatric Conditions,My child argues with everything I say is that odd,Symptom Interpretation,Behavioral Disorder (ODD),,,,,
Mental Health and Psychiatric Conditions,My child gets in trouble every day at school is this odd,Symptom Interpretation,Behavioral Disorder (ODD),,,,,
Mental Health and Psychiatric Conditions,I lash out when people try to tell me what to do. What does that mean?,Symptom Interpretation,Behavioral Disorder (ODD),,,,,
Mental Health and Psychiatric Conditions,"My child was diagnosed with ODD, how do we move forward?",Diagnosis Interpretation,Behavioral Disorder (ODD),,,,,
Mental Health and Psychiatric Conditions,What is the best treatment for ODD,Treatment,Behavioral Disorder (ODD),,,,,
Mental Health and Psychiatric Conditions,I'm terrified people will leave me do I have BPD,Symptom Interpretation,Borderline Personality Disorder,,,,,
Mental Health and Psychiatric Conditions,My relationships are unstable is that borderline,Symptom Interpretation,Borderline Personality Disorder,,,,,
Mental Health and Psychiatric Conditions,I go from loving someone to hating them do I have BPD,Symptom Interpretation,Borderline Personality Disorder,,,,,
Mental Health and Psychiatric Conditions,I feel empty and angry most of the time is that BPD,Symptom Interpretation,Borderline Personality Disorder,,,,,
Mental Health and Psychiatric Conditions,"My doctor says I have BPD, what does that mean for me?",Diagnosis Interpretation,Borderline Personality Disorder,,,,,
Mental Health and Psychiatric Conditions,I'm obsessed with calorie counting and feel guilty after eating. What should I do?,Symptom Interpretation,Eating Disorder,,,,,
Mental Health and Psychiatric Conditions,Do I have bulimia if I don't binge,Symptom Interpretation,Eating Disorder,,,,,
Mental Health and Psychiatric Conditions,Do I have anorexia disorder if I eat once a day,Symptom Interpretation,Eating Disorder,,,,,
Mental Health and Psychiatric Conditions,I have an eating disorder how do I get help,Treatment,Eating Disorder,,,,,
Mental Health and Psychiatric Conditions,"I was diagnosed with bulimia, is that an eating disorder?",Diagnosis Interpretation,Eating Disorder,,,,,
Mental Health and Psychiatric Conditions,How do I cure my eating disorder naturally,Treatment,Eating Disorder,,,,,
Mental Health and Psychiatric Conditions,Why do I have suicidal thoughts sometimes,Symptom Interpretation,General Mental Health,,,,,
Mental Health and Psychiatric Conditions,Is it normal to have suicidal thoughts,Symptom Interpretation,General Mental Health,,,,,
Mental Health and Psychiatric Conditions,Am I suicidal if I think about dying,Symptom Interpretation,General Mental Health,,,,,
Mental Health and Psychiatric Conditions,How do I get rid of suicidal thoughts,Treatment,General Mental Health,,,,,
